SK_ID_CURR,AMT_TOTAL_RECEIVABLE
100006,0.0
100011,4028055.255000001
100013,1737703.6649999993
100021,0.0
100023,0.0
100028,390461.85000000003
100036,0.0
100042,2797043.7600000002
100043,6877115.820000001
100047,0.0
100048,1865730.4650000003
100049,619223.355
100050,0.0
100059,0.0
100066,0.0
100067,2363711.4
100075,1215199.6199999999
100077,0.0
100082,1485923.1300000013
100083,0.0
100086,3549962.609999999
100090,0.0
100100,3767065.6950000003
100101,2552666.0849999995
100107,824320.395
100109,3115604.385
100110,0.0
100112,0.0
100114,0.0
100115,45000.0
100116,9807368.310000002
100128,0.0
100131,5670324.720000001
100135,0.0
100137,2559225.33
100138,0.0
100139,14448812.040000001
100143,6781261.904999998
100144,0.0
100145,152439.52500000002
100148,1315497.555
100151,2916327.6
100152,0.0
100153,8840133.81
100157,0.0
100162,0.0
100165,0.0
100166,0.0
100169,229309.06499999997
100170,2138734.71
100171,2773957.6350000007
100173,3500982.9450000008
100176,12505676.04
100180,0.0
100181,0.0
100187,0.0
100188,2343591.63
100190,0.0
100193,154466.28000000003
100197,6798640.2299999995
100198,2060579.7899999998
100206,0.0
100211,1250901.63
100217,3098490.0300000003
100218,8740557.135
100220,6664401.27
100221,667201.59
100224,1089078.6150000002
100226,0.0
100228,1955448.09
100229,0.0
100231,0.0
100233,0.0
100235,833038.7849999999
100239,0.0
100245,926033.4450000002
100250,0.0
100254,0.0
100258,0.0
100259,974028.4199999999
100260,871243.065
100266,7457793.525000001
100267,358253.55
100273,6490564.739999999
100274,0.0
100284,284956.87499999994
100290,2690432.865
100293,0.0
100296,881645.5349999999
100298,10798778.43
100299,0.0
100302,3099355.3800000004
100303,4513573.9350000005
100307,2006464.7699999996
100309,0.0
100312,1734861.69
100316,1787386.3649999998
100317,17575447.724999998
100321,697032.675
100327,10109187.675
100329,4373235.045000001
100330,2719503.4950000006
100336,8297777.834999999
100338,2013210.7200000002
100339,11798294.04
100340,5490975.555000001
100343,0.0
100345,1362540.87
100346,0.0
100347,645980.7599999999
100350,4880054.789999999
100351,0.0
100362,0.0
100364,998878.9049999999
100368,0.0
100369,2366544.2849999997
100371,0.0
100378,442179.585
100379,1218835.7999999998
100386,59837.58
100387,1357529.5799999998
100393,0.0
100394,0.0
100395,1045908.9449999996
100397,2099566.0349999997
100403,1754140.05
100406,1200594.555
100409,1006709.49
100410,11045186.82
100414,2085851.8799999997
100416,1059794.5050000001
100417,4851705.375
100418,2693056.815000001
100422,45697.5
100426,1268036.1
100429,603224.91
100436,5581.395
100437,0.0
100441,180072.99
100442,0.0
100445,1799937.0900000003
100451,0.0
100452,1709072.1449999996
100453,6113500.875
100461,6402557.385000001
100464,0.0
100465,2001857.085
100468,2675412.8999999994
100478,76426.56
100482,459475.8300000001
100487,5309451.359999999
100491,4146202.4399999995
100493,10459350.990000002
100502,0.0
100504,4492269.99
100505,14814998.100000003
100513,296347.905
100514,0.0
100515,858108.330000001
100517,67557.33
100519,1119484.53
100523,599991.6150000001
100524,0.0
100526,45000.0
100528,1014395.58
100530,0.0
100531,219426.93
100532,301802.985
100534,0.0
100536,0.0
100537,6372230.760000001
100542,6263433.63
100550,2828734.29
100551,1294962.21
100554,128351.565
100555,2832395.1299999994
100556,1710851.4900000005
100561,10840378.05
100563,0.0
100566,0.0
100572,2683326.3749999995
100577,90589.815
100581,20134.215
100586,440375.76
100587,0.0
100591,1458246.33
100594,0.0
100597,462997.935
100601,1078927.1099999999
100606,762496.2899999998
100609,3992964.435
100611,7608219.435
100612,4776529.680000001
100621,1893990.2399999995
100622,0.0
100623,3301723.9350000005
100629,0.0
100635,660770.0099999999
100638,0.0
100639,0.0
100647,0.0
100651,0.0
100653,2796323.67
100658,1817406.675
100662,0.0
100663,2052443.52
100681,4918800.33
100684,424544.085
100685,12847205.835
100688,966564.5850000001
100695,0.0
100697,1626120.495
100698,0.0
100704,0.0
100705,2139647.445
100709,2381.4
100712,0.0
100722,567252.4950000002
100727,0.0
100728,4691392.02
100736,1324851.9750000003
100741,0.0
100743,0.0
100749,90221.12999999999
100752,735178.0950000001
100753,1961005.41
100754,2067272.595
100756,0.0
100759,5720618.699999999
100763,0.0
100765,0.0
100768,6728109.299999999
100774,11264352.389999999
100786,6335243.864999999
100791,823230.1349999998
100796,13947529.454999996
100797,4640231.655
100800,12638.52
100802,8582749.65
100804,574844.175
100806,5083688.34
100813,0.0
100814,87554.60999999999
100815,0.0
100816,808894.755
100819,1491797.295
100830,743853.96
100833,2262795.3450000007
100834,6933462.885000001
100839,1202189.895
100842,9192582.54
100846,0.0
100853,242512.11
100854,409742.45999999996
100859,11840206.275
100861,10997.775
100865,1014776.5500000005
100870,10010948.985
100873,0.0
100876,1787307.345
100877,262436.535
100880,1025149.8599999998
100882,918670.3200000001
100893,0.0
100900,4189128.75
100902,948210.2550000002
100906,10987621.740000002
100912,5537927.159999999
100913,9034013.024999993
100914,-277.2
100917,4021247.5199999986
100919,487431.045
100920,3413759.5799999996
100923,13214416.949999997
100924,3281792.76
100926,599095.5299999999
100929,10855801.350000001
100930,0.0
100935,4228037.415
100938,0.0
100939,0.0
100940,0.0
100941,2396536.6500000004
100942,13365257.354999999
100948,2824014.0149999997
100957,513447.93
100960,181687.185
100961,0.0
100963,0.0
100964,0.0
100967,13615546.725000001
100968,0.0
100973,0.0
100976,1916476.65
100983,2033434.0800000003
100984,1989215.9100000001
100985,0.0
100989,157018.275
100991,0.0
100993,2707294.6799999997
101003,14760315.09
101004,0.0
101006,5735476.439999997
101013,2080727.955
101014,0.0
101018,3426900.5700000008
101019,2350412.64
101020,17106.074999999997
101022,10006828.11
101023,13884845.940000001
101024,0.0
101026,356788.53
101028,306577.70999999996
101032,2523854.6999999997
101034,0.0
